Text,User,Likes,Reposts,Views,Status ID,Date,Platform,Scraped At,Replies,Sentiment
"Ga cuma di Indonesia sih. Belajar bahasa dan ilmu sosial lagi sana
https://journals.sagepub.com/doi/abs/10.1177/0261927X20967394?journalCode=jlsa…",@lucentbeam12,15,3,451,1858759113439900052,2024-11-19 06:28:01,twitter,2024-11-20 09:57:16.426289,0,1
"KLARIFIKASI H. MASKOTA HJS, SE, PELAPOR SAID DIDU

Salah sebut, UU ITE dibilang UU IT.

Coba para pemirsa yang budiman bisa cari tau betul atau tidak ybs pernah kuliah. Klo ngaku2 yg jelas pidana menanti.

Pasal 272 ayat (1) KUHP baru menyatakan, setiap orang yang memalsukan atau",@papa_loren,408,273,24000,1858851884913860986,2024-11-19 12:36:39,twitter,2024-11-20 09:57:16.426289,0,2
"1. Statistik dalam Penelitian Psikologi dan Pendidikan
2. Majalah Kimia
3. Arkeologi Sejarah
4. Pedoman Umum Ejaan Bahasa Indonesia
5. Struktur Bahasa Jawa",@yayasleole_,0,0,48,1858735503245480134,2024-11-19 04:54:12,twitter,2024-11-20 09:57:16.426289,0,1
"Perjuangan Guru Pergi Mengajar di Sukabumi

#perjuangan #guru #lumpur #mengajar #sekolah #pendidikan #siswa #sukabumi #viral #shorts #fyp #fypシ゚",@koran_ii,0,0,99,1858759128312934771,2024-11-19 06:28:04,twitter,2024-11-20 09:57:16.426289,0,2
"Warisan Budaya Takbenda UNESCO Indonesia:
1. Keris/Kris
2. Wayang
3. Batik
4. Pendidikan dan Pelatihan Batik
5. Angklung
6. Saman
7. Noken
8. Tiga Genre Tari Tradisional di Bali
9. Pinisi
10. Pencak Silat
11. Pantun
12. Gamelan
13. Budaya Sehat Jamu",@awanlembayung_,7,0,52,1858873825733341589,2024-11-19 14:03:50,twitter,2024-11-20 09:57:16.426289,0,1
"Ternyata lagi rame juga di X bahas soal Pak Wapres yang menyarankan coding dan AI masuk kurikulum pendidikan.

Artifisial Newsletter sudah menyiarkan ini dari minggu lalu.",@artifisialcom,0,0,16,1858772487020150943,2024-11-19 07:21:09,twitter,2024-11-20 09:57:16.426289,0,1
"negara nordik wajar kalo pajaknya tinggi dengan kualitas hidup, kualitas pendidikan sampai kualitas pemerintah nya tergolong bagus.

kalo indonesia?

akuntabilitas pemerintahnya rendah, kualitas pendidikan rendah, gaji umr segitu gitu aja tapi mau nerapin ""nordic-style welfare"".",@THXFORTRAGEDY,1,0,59,1858725216815640707,2024-11-19 04:13:19,twitter,2024-11-20 09:57:16.426289,0,2
"Mengikuti arahan Bapak Presiden @prabowo dan Bapak Menteri @abe_mukti bahwa kita harus segera meningkatkan pendidikan karakter, mengembangkan sains dan teknologi, dan mengusahakan kenaikan indeks kemampuan literasi baik membaca, numerasi maupun sains.",@atip_hayat,1,0,52,1858687432700686659,2024-11-19 01:43:11,twitter,2024-11-20 09:57:16.426289,0,1
"Miris! Guru-guru ""siluman"" ditemukan di sejumlah daerah. Diduga kuat nama-nama titipan yang tidak pernah mengajar. MAU JADI APA PENDIDIKAN INDONESIA JIKA INI DIBIARKAN?",@kisahpembelajar,0,0,17,1859016025607643156,2024-11-19 23:28:54,twitter,2024-11-20 09:57:16.426289,0,2
"yang lengkap ka, gaji guru dan dosen di Indonesia takut nya meleset ke negara lain",@fagguetes,356,6,5100,1858866002051953042,2024-11-19 13:32:45,twitter,2024-11-20 09:57:16.426289,0,2
