Text,User,Likes,Replies,Reposts,Date,Scraped At,Platform
"⛓️SEMBOYAN PENDIDIKAN INDONESIA⛓️#p5rekayasadanteknologi
#smptamansiswa  Translate",aaaaaariii__,0,0,0,2024-11-21 03:28:52+00:00,2024-11-21T11:18:15.170767,Threads
"🚨 10 Jt Gen Z Menganggur! Saatnya Kita Serap!🚨Di Indonesia, hampir 10 juta Gen Z masih menganggur, dengan angka tertinggi datang dari lulusan SMK. Penyebab utama? Ketidaksesuaian antara pendidikan yang ditempuh dengan kebutuhan pasar kerja. Bagi Anda para pebisnis dan UMKM, ini adalah peluang besar! Jangan biarkan talenta muda terbuang begitu saja. ✨Apa yang bisa Anda lakukan?
🌟 Bangun kolaborasi dengan lembaga pendidikan untuk menciptakan program magang dan pelatihan Elbachsya Consulting.
👇🏻  Translate",elbachsya.consulting,0,1,0,2024-11-21 03:20:12+00:00,2024-11-21T11:18:15.483452,Threads
"Dengan berbagai macam faktor faktor yang terjadi di Indonesia, tak heran jika anak anak muda banyak yang cemas akan masa depannya. Banyak dari generasi penerus ini memilih untuk bekerja di Luar Negeri. Sebab, di sana mereka akan mendapatkan pekerjaan dengan mudah, beban dan gaji pekerjaan yang sesuai, akses kesehatan dan pendidikan yang murah.  Translate",fdlnahmad,0,0,0,2024-11-21 03:18:27+00:00,2024-11-21T11:18:35.995002,Threads
"Dari sisi akses pendidikan, survei yang dilakukan oleh Politic and Economic Risk Consultan (PERC) menyebutkan bahwa angka pendidikan di Indonesia urutan terakhir dari 12 Negara di Asia. Terdapat faktor lain dalam hal ini seperti biaya pendidikan yang terus naik, kurikulum yang berganti-ganti, dan kompetensi guru yang tidak sesuai dengan gaji tenaga pendidik yang rendah.  Translate",fdlnahmad,0,0,0,2024-11-21 03:16:22+00:00,2024-11-21T11:18:16.756251,Threads
"Siapa sangka gejolak yang terjadi akhir akhir ini membawa harapan Indonesia Emas seakan luntur begitu saja bahkan banyak yang menyebutnya Indonesia Cemas. Tak lain hal ini terjadi sebab banyaknya gejolak seperti sulit dan mahalnya akses pendidikan di Indonesia, gelombang PHK massal yang terjadi, Kurangnya lowongan pekerjaan hingga banyaknya angka anak anak stunting di Indonesia.  Translate",fdlnahmad,0,0,0,2024-11-21 03:10:04+00:00,2024-11-21T11:18:18.943790,Threads
"wa.me/62858…  Pelatihan Motivasi Di Batam, Seminar Motivasi Di Depok, Motivasi Karyawan Di Kupang, Pelatihan Kepemimpinan Di Malang, Training Motivasi Di BalikpapanTraining Motivasi Sekolah Surabaya
Motivator Pendidikan Sekolah Indonesia
Trainer Motivasi Guru Bogor
Motivasi Kerja Karyawan Jambi
Training Motivasi Karyawan Aceh
Motivator Karyawan Sumatra
Training Motivasi Karyawan Kalimantan
Tim Motivator Di Sulawesi  Translate",training_motivasi_karyawan,0,0,0,2024-11-21 03:05:19+00:00,2024-11-21T11:18:22.598829,Threads
"𝐔𝐧𝐭𝐮𝐤 𝐤𝐞𝐦𝐛𝐚𝐥𝐢 𝐦𝐞𝐧𝐢𝐧𝐠𝐤𝐚𝐭𝐤𝐚𝐧 𝐬𝐢𝐧𝐞𝐫𝐠𝐢 𝐝𝐚𝐥𝐚𝐦 𝐡𝐚𝐥 𝐦𝐞𝐧𝐢𝐧𝐠𝐤𝐚𝐭𝐤𝐚𝐧 𝐝𝐚𝐲𝐚 𝐤𝐨𝐦𝐩𝐞𝐭𝐢𝐬𝐢 𝐩𝐞𝐥𝐚𝐣𝐚𝐫 𝐝𝐢 𝐈𝐧𝐝𝐨𝐧𝐞𝐬𝐢𝐚,Bimbel Adzkia Kedinasan bekolaborasi dengan Kodim 0211/Tapanuli TengahMembahas langkah strategis untuk melaksanakan event-event pendidikan💪🏻Bersama kita maju
Bersama kita bisa !!!#tapteng #kodim #dandim #tni #tni-ad #tnihebat #bimbel #adzkiakedinasan #kedinasan #event sorotan  Translate",bimbelstan_adzkia,0,0,0,2024-11-21 02:59:44+00:00,2024-11-21T11:18:39.269642,Threads
"Siapa bilang seorang IBU itu tak berkarir dan tak mengabdi???sekalipun kebanyakan pendidikan tinggi tak ditempuh, mereka berkarir lewat pengabdian mendidik anaknya/generasi menyayangi BANGSA & NEGARAnya. #indonesia #nusantara #pemuda #mahasiswa #santri  Translate",andi_awha_massilingang,0,0,0,2024-11-21 02:59:16+00:00,2024-11-21T11:18:17.269026,Threads
"Info #lowongankerja nih gaes dari PT Bank Rakyat Indonesia (Persero) TbkPosisi: BRILiaN Banking Officer Program (BBOP) Regional Office Jakarta 2Pendidikan minimal D4 / S.1 dari Universitas / Perguruan Tinggi
Bersedia ditempatkan di seluruh Unit Kerja BRI Regional Office Jakarta 2#kelaskaririndonesia #lokerterbaru #infoloker #loker #lokerfreshgraduate #freshgraduate #lokerjakarta #lokerdepok #lokerbogor #lokerjabodetabek  Translate",kelaskaririndonesia,0,0,0,2024-11-21 02:56:45+00:00,2024-11-21T11:18:38.833983,Threads
"Info #lowongankerja nih gaes dari PT Bank Rakyat Indonesia (Persero) TbkPosisi: BRILiaN Banking Officer Program (BBOP) Regional Office Jakarta 2Pendidikan minimal D4 / S.1 dari Universitas / Perguruan Tinggi
Bersedia ditempatkan di seluruh Unit Kerja BRI Regional Office Jakarta 2#terminalhrd_official #lokerterbaru #infoloker #loker #lokerfreshgraduate #freshgraduate #lokerjakarta #lokerdepok #lokerbogor #lokerjabodetabek  Translate",terminalhrd_official,0,0,0,2024-11-21 02:54:23+00:00,2024-11-21T11:18:40.402666,Threads
"Cara Jesuit manage lembaga pendidikan itu kudunya dijadikan standard pengelolaan sekolah di Indonesia. Yang aku rasakan...sekolah yg under Jesuit itu vibe nya adem, damai, dari atas ke bawah semua manusianya tanggung jawab dan penuh pengabdian bekerja dengan hati gembira. Ngefek baik ke anak murid. Yang aku tau anak CC, ATMI, Sadhar itu secara manusia mereka proper2 banget. Kalau proper as human being, mudahlah upgrade kognitifnya.  Translate",xavieralalitya,0,1,0,2024-11-21 02:00:36+00:00,2024-11-21T11:18:17.009481,Threads
3 Langkah untuk Pemerintah Dongkrak Kualitas Pendidikan Indonesia beritasatu.com/nasio…  Translate,beritasatu,0,0,0,2024-11-21 01:47:15+00:00,2024-11-21T11:18:37.926122,Threads
"STUDI KEPEMIMPINAN MAHASISWA FKIP 2024""Jika pemimpin tanpa merasakan rasa puyeng, resah, dan gelisah. Maka ketahuilah bahwa ia termasuk pemimpin yang gagal.""Hallo saya Muhammad Ulul Azmi dari Pendidikan Bahasa dan Sastra Indonesia, Fakultas Keguruan dan Ilmu Pendidikan Universitas Islam Malang siap mengikuti Studi Kepemimpinan Mahasiswa Tahun 2024.“Nitisastra Abhiseva”bemfkipunisma#skmfkip2024
#nitisastraabihiseva
#bemfkipunisma
#fkipunisma
#unismaofficial  Translate",ulul.azmi86,0,0,0,2024-11-21 01:39:57+00:00,2024-11-21T11:18:22.930345,Threads
Pendidikan bahasa Indonesia,nfty_tya,0,1,0,2024-11-21 01:39:30+00:00,2024-11-21T11:18:15.988325,Threads
Sam's Studio - Jaringan Bioskop Film Indonesia. Memaknai Ekosistem Kebudayaan dengan menumbuhkan keberadaan jaringan Creative Hub di setiap propinsi di Indonesia. Membangun kreatifitas pendidikan ekonomi untuk lingkungan hidup terus semakin baik.  Translate,embi.c.noer,0,0,0,2024-11-21 01:25:43+00:00,2024-11-21T11:18:22.234143,Threads
"Sejak saat itu, Jakarta terus berkembang menjadi kota besar dan modern, meskipun menghadapi berbagai tantangan seperti kemacetan, polusi, dan ketimpangan sosial. Jakarta tidak hanya sebagai ibu kota pemerintahan, tetapi juga sebagai pusat ekonomi, budaya, dan pendidikan di Indonesia. Sejarah panjang kota ini mencerminkan perjalanan bangsa Indonesia dari masa penjajahan menuju kemerdekaan, dan Jakarta tetap menjadi simbol penting dalam perjalanan bangsa ini menuju masa depan.  Translate",aisyahda__,0,0,0,2024-11-21 01:18:48+00:00,2024-11-21T11:18:38.611700,Threads
"Kalau bicara kecerdasan dalam artian IQ, biasanya faktor bawaan. Jadi, kemungkinan faktor utamanya adalah gizi. Baik gizi saat di kandungan maupun gizi selama masa pertumbuhan.Kemungkinan kedua, hasil test IQ orang Indonesia tidak mencerminkan potensi aslinya. Ini bisa jadi disebabkan faktor pendidikan, khususnya terkait stimulasi logika (mis. Matematika). Jadi ada kemungkinan juga faktor kualitas dan pemerataan pendidikan.Budaya Kia-Su dan English seharusnya tidak berpengaruh.  Translate",rizalaffif_,0,0,0,2024-11-21 01:18:12+00:00,2024-11-21T11:18:18.535219,Threads
"Dengan memperbanyak bacaan maka akan menambah penguatan memori otak. Namun dalam membaca bukan soal banyaknya bacaan tapi bagaimana ketajaman otak dalam memahami bacaan tersebut.#membaca #literasi #anies #buku #pendidikan 
#gramedia #minatbaca #belajar #indonesia  Translate",mhammadrbnzhr,0,0,0,2024-11-21 01:15:14+00:00,2024-11-21T11:18:23.398913,Threads
"Setelah menikah, Kartini mendirikan sekolah untuk perempuan di Rembang. Ia berjuang agar perempuan Indonesia bisa memperoleh pendidikan seperti laki-laki. Meskipun Kartini meninggal pada usia 25 tahun, semangat perjuangannya terus dikenang hingga kini. Hari lahirnya diperingati setiap 21 April sebagai Hari Kartini Cerita ini menunjukkan fakta sejarah tentang perjuangan Kartini yang memberikan inspirasi besar bagi perempuan Indonesia.  Translate",hnyfhkhyh,0,0,0,2024-11-21 01:07:25+00:00,2024-11-21T11:18:17.499377,Threads
"Acara ini juga digelar untuk merayakan peringatan Sumpah Pemuda 2024 dengan tema ""Maju Bersama Indonesia Raya,"" yang menekankan pentingnya sinergi dan kolaborasi anak-anak muda.Pagelaran Melody in Harmony sejalan dengan misi Badan Pendidikan Kristen (BPK) Penabur untuk mengembangkan potensi peserta didik secara optimal.#indonesiaprestasi #prestasianakbangsa #museumrekorduniaindonesia #muri #rekormuri#pangelaranbudaya  Translate",muri_org,0,0,0,2024-11-21 00:55:35+00:00,2024-11-21T11:19:04.228528,Threads
"Anak tsb belum juga mengerti urusan terpenting guru sudah mengajari nya, ada beberapa guru juga tidak rela jika anak tidak bisa di lulus kan begitu saja, tapi mau bagaimana itu peraturan pendidikan yang ada di Indonesia. Masalah les bukan nya itu menjadi tanggung jawab orang tua murid? karna itu sudah di luar jam sekolah, kalo lo berharap guru juga memberi fasilitas les tambahan tanpa ada biaya lu pikir guru di Indonesia kaya?, dikit dikit nyalahin guru lu gatau secapek apa jadi guru SD.  Translate",nisaasabill__,0,0,0,2024-11-21 00:41:23+00:00,2024-11-21T11:18:37.030902,Threads
"Pemprov DKI Jakarta menegaskan komitmennya dalam mendukung sektor pendidikan dengan mengalokasikan 24 persen dari APBD.Pj Gubernur, Teguh Setyabudi, menyatakan bahwa meskipun standar nasional menetapkan alokasi 20 persen untuk pendidikan, Pemprov telah menetapkan anggaran yang melebihi angka tersebut. Langkah ini bertujuan untuk mewujudkan generasi Indonesia Emas 2045. #jktinfo  Translate",jktinfo,0,0,0,2024-11-20 23:54:40+00:00,2024-11-21T11:18:39.891185,Threads
